student_id,表现档次,风险标签,学生画像类别
pjxyqxbj663,中表现,1,3
pjxsqxbj827,低表现,1,3
pjxrqxbj901,高表现,0,3
pjxyqwbj577,中表现,0,0
pjxyqwbj914,低表现,1,0
pjxyqwbj396,高表现,1,0
pjxwxxbj963,低表现,1,0
pjvyzvfj989,低表现,1,1
pjxyqwbj506,中表现,1,3
pjxyqwbj648,高表现,1,0
pjxyqxbj961,低表现,1,0
pjwtqxbj921,中表现,0,3
pjxyqxbj776,中表现,0,3
pjxyqwbj588,中表现,1,3
pjxqqxbj985,高表现,1,3
pjxyqwbj760,中表现,0,3
pjxyqxbj355,中表现,0,0
pjwrqxbj935,中表现,1,0
pjxyqwbk922,中表现,0,0
pjxyqxbj807,中表现,0,3
pjxyqxbj585,低表现,1,0
pjxyqxbk022,中表现,0,3
pjxyqxbl957,低表现,1,3
pjxyqwbj397,低表现,1,2
pjxyqxbk155,中表现,0,3
pjxyqwbk831,低表现,1,3
pjxyqwbj223,高表现,1,0
pjxyqxbj884,高表现,0,3
pjxyqxbj180,中表现,1,3
pjxyqxbl906,中表现,0,0
pjxyqwbj109,高表现,0,3
pjxyqxbk204,低表现,1,3
pjxyqwbj126,高表现,0,0
pjwrqxbj913,低表现,1,0
pjxyqxbk852,高表现,1,0
pjxyqxbj361,高表现,0,3
pjxyqwbk812,高表现,1,3
pjxuqwbj883,中表现,1,0
pjxyqxbk566,低表现,1,0
pjxyqxbj940,中表现,0,3
pjxyqxbk074,低表现,1,0
pjxuqwbj642,高表现,0,3
pjxyqxbk878,中表现,0,3
pjxyqxbk632,低表现,0,3
pjxyqxbj761,中表现,1,0
pjxpqxbj972,高表现,1,3
pjxrqxbj892,低表现,1,3
pjxsqxbj876,高表现,1,3
pjwrqxbj916,高表现,0,0
pjxyqxbj330,高表现,1,3
pjxyqwbj739,高表现,1,0
pjxyqwbj853,高表现,0,0
pjxyqxbl992,低表现,1,0
pjxyqwbj149,中表现,1,0
pjxyqwbj564,低表现,1,0
pjxpqxbj981,高表现,0,3
pjxpqxbj976,高表现,0,3
pjxyqxbj198,高表现,0,3
pjxyqxbj174,中表现,1,0
pjxyqxbk684,高表现,1,3
pjxyqxbl963,高表现,1,3
pjxuqwbj797,中表现,1,0
pjxyqwbk519,高表现,0,0
pjxsqxbj980,低表现,1,0
pjxyqxbk590,高表现,0,0
pjxuqwbj763,低表现,1,0
pjxxzxkj983,中表现,1,3
pjxsqxbj808,高表现,0,0
pjxyqwbk962,低表现,1,3
pjxyqwbj617,中表现,0,0
pjxyqxbk500,低表现,1,0
pjxyqwbk770,低表现,1,3
pjxyqwbj515,高表现,1,3
pjxyqwbk716,中表现,1,0
pjxyqxbj952,中表现,1,3
pjxyqwbk572,中表现,1,3
pjxyqwbj837,低表现,1,0
pjxyqxbk328,高表现,0,3
pjxyqxbj559,低表现,0,3
pjxyqxbk595,低表现,1,0
pjxyqxbk798,高表现,0,3
pjxxzxkj979,低表现,1,0
pjxyqxbk841,高表现,0,0
pjxuqwbj724,高表现,0,0
pjxyqxbk685,低表现,1,3
pjxuqwbj914,中表现,1,3
pjxyqxbk458,中表现,0,0
pjxqzxbj995,低表现,1,0
pjxuqwbj472,中表现,0,0
pjxuqwbj503,低表现,1,0
pjxyqxbl678,低表现,1,0
pjxyqxbk889,中表现,1,3
pjxyqwbj252,高表现,0,2
pjxyqxbj669,中表现,0,3
pjxyqxbk869,中表现,0,3
pjxvzxfj980,低表现,1,1
pjxuqwbj985,中表现,1,0
pjxyqxbj688,中表现,1,0
pjxyqxbj007,低表现,1,0
pjxyqwbj326,中表现,0,0
pjxyqxbj914,高表现,0,0
pjxyqxbk167,高表现,0,3
pjxpqxbj963,高表现,1,3
pjxyqwbk652,低表现,1,3
pjxuqwbj525,高表现,0,0
pjxyqxbk936,高表现,0,0
pjxyqxbk135,中表现,1,3
pjxyqwbj631,低表现,1,0
pjxyqxbj921,中表现,1,0
pjxuqwbj953,低表现,0,3
pjwrqxbj984,中表现,0,3
pjxyqxbk039,低表现,1,0
pjxyqxbk444,高表现,0,3
pjxuqwbj930,高表现,1,0
pjxrqxbj947,中表现,0,3
pjxyqxbj858,高表现,1,0
pjxyqwbj748,高表现,1,3
pjxvzxfj987,低表现,1,1
pjxyqwbk951,低表现,1,3
pjxyqwbj245,高表现,1,0
pjxyqxbj635,高表现,0,0
pjxuqwbj904,高表现,0,0
pjxyqxbk723,低表现,1,3
pjxyqxbk927,中表现,1,3
pjxsqxbj751,低表现,1,0
pjxyqwbk710,中表现,0,0
pjxyqwbj487,高表现,0,3
pjvyzvfj998,低表现,1,1
pjxuqwbj805,高表现,0,3
pjxyqwbj158,低表现,1,0
pjxyqxbj257,低表现,1,3
pjxsqxbj801,中表现,0,3
pjxyqwbj557,高表现,0,3
pjxyqwbj086,低表现,1,0
pjxyqwbj734,中表现,1,0
pjxyqwbk830,高表现,1,0
pjxyqxbl937,中表现,0,3
pjxtzxfj982,低表现,1,1
pjwtqxbj983,高表现,0,3
pjxyqwbk698,中表现,0,0
pjxyqxbj609,中表现,1,3
pjxyqxbj113,高表现,0,3
pjxyqxbk220,中表现,1,0
pjxyqxbk642,高表现,0,3
pjxyqxbj846,高表现,0,3
pjxwxxbj943,低表现,1,0
pjxyqxbj571,高表现,0,3
pjxxxxbj968,低表现,1,0
pjxyqxbj253,中表现,1,3
pjxuqwbj833,高表现,0,3
pjwrqxbj944,高表现,1,3
pjxsqxbj790,中表现,0,3
pjxyqxbj907,高表现,1,3
pjxuqwbj540,中表现,1,0
pjxyqwbj156,低表现,1,0
pjxuzsfj995,低表现,1,1
pjxyqwbk966,高表现,1,0
pjxwxxbj916,中表现,1,0
pjxyqxbk695,高表现,1,3
pjxwxxbj918,中表现,1,0
pjwtqxbj935,高表现,0,0
pjxyqxbj082,中表现,1,3
pjxsqxbj954,高表现,1,0
pjxsqxbj768,中表现,1,3
pjxyqwbk772,中表现,1,0
pjxuqwbj933,低表现,1,3
pjxyqxbl810,中表现,0,3
pjxyqwbj782,低表现,1,0
pjxxxxbj970,高表现,1,0
pjxvzxfj998,低表现,1,1
pjxyqxbj799,中表现,1,0
pjxsqxbj922,中表现,0,0
pjxyqwbj388,中表现,1,0
pjxyqxbj993,低表现,1,3
pjxyqxbk720,高表现,1,0
pjxyqxbj443,中表现,1,0
pjxyqxbj701,低表现,1,3
pjxyqwbj117,中表现,1,3
pjxyqwbj018,中表现,1,0
pjxyqwbk818,中表现,0,3
pjxuqwbj564,高表现,1,0
pjxsqxbj894,高表现,0,3
pjxsqxbj970,中表现,0,3
pjxyqwbk868,中表现,0,0
pjxyqxbj800,高表现,0,3
pjxyqwbj884,高表现,0,0
pjxyqwbj966,中表现,1,0
pjxyqxbk520,高表现,0,3
pjxyqwbj928,中表现,1,0
pjxyqwbk779,高表现,1,0
pjxyqxbk314,低表现,1,3
pjxuqwbj572,高表现,0,3
pjxyqwbj836,中表现,1,0
pjxyqxbj935,高表现,0,3
pjxuzsfj988,低表现,1,1
pjxyqwbj255,中表现,0,0
pjxuqwbj812,中表现,0,3
pjxyqxbl750,中表现,0,3
pjxsqxbj909,高表现,0,3
pjxyqwbj691,高表现,1,0
pjxyqwbk781,中表现,1,0
pjxuqwbj803,低表现,1,0
pjxyqxbk840,低表现,1,0
pjxyqwbk646,高表现,0,3
pjwrqxbj901,低表现,1,2
pjxyqwbj678,高表现,1,0
pjxyqxbl779,低表现,1,0
pjxuqwbj733,高表现,0,0
pjxyqwbj946,高表现,0,3
pjxyqwbk740,高表现,0,0
pjxyqwbj172,中表现,0,0
pjxyqxbj964,低表现,1,0
pjxyqxbj762,中表现,1,0
pjxyqwbj877,高表现,1,0
pjxyqxbj770,高表现,1,3
pjxuqwbj750,低表现,1,2
pjxyqwbj112,中表现,1,0
pjxyqxbk743,低表现,1,3
pjxsqxbj778,高表现,0,3
pjxvztfj974,低表现,1,1
pjxyqxbk036,中表现,0,0
pjxsqxbj872,高表现,1,3
pjxyqxbk354,中表现,0,3
pjxuqwbj489,中表现,0,3
pjxwxxbj915,高表现,1,0
pjxyqxbj898,低表现,1,3
pjxuqwbj745,中表现,1,3
pjxyqxbk680,高表现,0,3
pjxyqwbj833,高表现,1,3
pjxyqwbj949,中表现,1,0
pjxuqwbj876,高表现,1,3
pjxyqwbk871,高表现,1,0
pjxyqxbk137,高表现,1,0
pjxyqwbj282,高表现,1,3
pjxyqwbj283,中表现,0,3
pjxyqwbk775,高表现,1,3
pjxyqxbj626,低表现,1,0
pjxyqxbk705,低表现,1,3
pjxyqwbk736,低表现,1,3
pjxuqwbj692,中表现,0,0
pjxsqxbj897,中表现,0,3
pjxyqxbj001,高表现,0,3
pjxvztfj976,低表现,1,1
pjxyqwbj933,中表现,1,0
pjxyqwbj904,高表现,0,0
pjxsqxbj840,中表现,1,3
pjxwzxbj988,低表现,1,0
pjwrqxbj956,中表现,0,3
pjxyqwbj598,高表现,0,0
pjxyqxbj681,高表现,0,3
pjxsqxbj873,高表现,1,2
pjxyqxbj060,低表现,1,3
pjxyqwbk893,中表现,1,3
pjxyqxbl837,低表现,1,0
pjxsqxbj921,低表现,1,2
pjxyqwbj947,高表现,0,0
pjxyqwbj524,高表现,0,0
pjxyqxbk604,低表现,1,0
pjxyqwbj589,中表现,0,0
pjwtqxbj979,高表现,0,3
pjwrqxbj884,高表现,0,0
pjxyqxbj465,低表现,1,3
pjxyqxbk813,中表现,1,0
pjxsqxbj941,中表现,0,3
pjxyqxbj838,中表现,0,3
pjxyqwbj412,低表现,1,0
pjxyqxbk825,低表现,1,0
pjxyqwbj122,中表现,0,0
pjxyqxbj777,低表现,1,3
pjxyqxbl952,高表现,1,0
pjxyqxbl825,中表现,0,3
pjxyqwbj754,低表现,1,0
pjxrqxbj961,高表现,1,0
pjxyqxbl714,中表现,1,3
pjwtzxbj996,低表现,1,3
pjxuqwbj772,中表现,1,0
pjxxxxbj987,高表现,1,0
pjxyqwbk856,中表现,1,0
pjxxzxkj997,高表现,0,3
pjxyqwbk804,低表现,1,0
pjxrqxbj939,高表现,1,0
pjxpqxbj969,中表现,0,3
pjxyqxbl735,高表现,1,0
pjxyqwbk724,中表现,1,0
pjxyqwbj455,高表现,0,0
pjxyqxbk794,低表现,1,0
pjxyqxbj834,高表现,1,0
pjxsqxbj916,高表现,0,3
pjxxztfj997,低表现,1,1
pjxyqxbj151,高表现,0,3
pjxyqwbj548,中表现,1,0
pjxwxxbj967,低表现,1,0
pjxyqxbk144,中表现,1,0
pjxyqxbj492,中表现,1,3
pjwrqxbj992,中表现,1,3
pjxyqwbj755,高表现,1,3
pjwrqxbj967,高表现,1,0
pjxyqwbk864,中表现,0,0
pjxyqxbk939,中表现,0,3
pjxpqxbj962,高表现,1,0
pjxyqxbk373,低表现,1,0
pjxuqwbj511,低表现,1,3
pjxxxxbj930,高表现,1,0
pjxyqwbj347,中表现,1,0
pjwrqxbj920,中表现,1,0
pjxuqwbj500,高表现,0,3
pjxyqxbj812,低表现,1,3
pjxuqwbj814,中表现,0,0
pjxyqxbj753,低表现,1,3
pjxyqwbj701,低表现,1,0
pjxsqxbj758,低表现,1,0
pjxrqxbj994,高表现,1,3
pjxyqxbl921,低表现,1,0
pjxyqxbk503,高表现,0,2
pjxyqxbj972,中表现,0,3
pjxyqxbk905,高表现,1,3
pjxsqxbj905,高表现,0,3
pjxyqwbj154,高表现,1,3
pjxyqxbl686,低表现,1,0
pjxuqwbj784,高表现,1,3
pjxyqxbk683,高表现,0,0
pjxuqwbj496,低表现,1,3
pjxuqwbj485,高表现,0,0
pjxyqxbl807,低表现,1,0
pjxyqwbj807,高表现,1,3
pjxyqxbj228,中表现,0,3
pjxyqxbk125,低表现,1,3
pjxyqwbj660,高表现,0,0
pjxyqwbj793,中表现,1,0
pjxyqwbj787,高表现,1,0
pjxyqwbk608,中表现,1,3
pjxsqxbj774,低表现,1,3
pjxyqxbj827,低表现,1,0
pjxyqwbk636,中表现,1,0
pjxyqxbk581,高表现,0,0
pjxyqwbk527,高表现,1,0
pjxvzrfj978,低表现,1,1
pjxuqwbj731,高表现,1,3
pjxyqwbj395,高表现,0,0
pjxyqxbj541,高表现,1,0
pjxyqxbj779,中表现,0,3
pjxyqxbk013,低表现,1,3
pjxyqxbk601,中表现,1,3
pjxyqxbj102,低表现,1,3
pjxsqxbj779,低表现,1,0
pjxyqxbk097,中表现,0,3
pjxvztfj990,低表现,1,1
pjxsqxbj825,高表现,1,0
pjxwzxfj994,低表现,1,1
pjxyqxbj278,中表现,1,3
pjxyqwbj035,中表现,1,0
pjxyqxbj848,高表现,1,0
pjxwzxkj991,高表现,1,0
pjxyqxbl889,中表现,1,0
pjwrqxbj924,中表现,1,3
pjxyqxbj801,中表现,1,0
pjxuzvbj991,低表现,1,0
pjxyqxbj733,高表现,1,3
pjxyqwbj469,高表现,0,3
pjxyqxbk978,低表现,1,3
pjwrqxbj993,高表现,0,0
pjxyqxbj687,低表现,1,3
pjxyqwbj500,中表现,0,0
pjxwxxbj934,低表现,1,0
pjxuqwbj986,高表现,0,3
pjxtzxbj997,低表现,1,0
pjxwxxbj992,中表现,1,0
pjxyqwbk899,高表现,1,0
pjxyqxbk236,高表现,0,0
pjxyqxbj052,高表现,1,0
pjxvzrfj975,低表现,1,1
pjvyzxbj995,低表现,1,0
pjxuqwbj637,低表现,1,0
pjxuqwbj906,高表现,0,3
pjxyqxbj152,高表现,0,3
pjxxxxbj953,高表现,1,0
pjxyqwbj989,高表现,0,0
pjxwzxbj993,低表现,1,3
pjxyqxbj043,中表现,1,0
pjxyqxbj038,高表现,1,0
pjxyqxbk958,高表现,0,3
pjxwxxbj907,低表现,1,0
pjxyqwbk632,低表现,1,0
pjwrqxbj938,中表现,1,0
pjxyqxbl766,高表现,0,3
pjxyqxbj073,中表现,1,3
pjxvzxfj982,低表现,1,1
pjxsqxbj824,高表现,0,3
pjxpqxbj930,中表现,1,3
pjxyqwbj059,低表现,1,3
pjxyqwbj077,低表现,1,0
pjxsqxbj953,高表现,0,3
pjxyqxbj250,低表现,0,3
pjxyqxbk021,中表现,0,0
pjxyqxbk043,低表现,1,0
pjxuqwbj944,中表现,1,3
pjxqqxbj947,中表现,0,3
pjxyqxbj637,中表现,1,3
pjxuqwbj858,高表现,1,0
pjxyqwbj664,中表现,0,0
pjxyqwbj209,低表现,1,3
pjxrqxbj952,中表现,1,0
pjxyqxbk900,低表现,0,0
200307700011,低表现,1,1
pjxwxxbj924,低表现,1,0
pjwrqxbj988,高表现,0,0
pjwtqxbj920,中表现,0,3
pjxqqxbj997,高表现,1,0
pjxyqxbk556,低表现,1,0
pjxyqxbj008,中表现,1,3
pjxyqwbk700,中表现,0,0
pjxyqxbj570,高表现,0,3
pjxrqxbj981,中表现,0,0
pjxyqxbk277,中表现,1,0
pjxyqxbk302,低表现,1,0
pjxuqwbj581,高表现,0,3
pjxyqxbl929,高表现,1,0
pjxyqxbk525,中表现,1,0
pjxqzxbj975,高表现,1,0
pjxyqwbj054,高表现,0,0
pjxyqxbk630,高表现,0,3
pjxyqwbj375,中表现,1,0
pjxuqwbj507,中表现,0,0
pjxwxxbj940,低表现,1,0
pjxyqxbk787,中表现,0,3
pjxyqwbk583,低表现,1,0
pjxyqxbl878,低表现,1,0
pjxyqwbk720,中表现,1,0
pjxyqwbj977,高表现,1,0
pjxyqxbk640,中表现,0,3
pjxtzxfj983,低表现,1,1
pjxyqxbk855,中表现,0,3
pjxyqxbk812,低表现,1,0
pjxyqwbj309,高表现,1,0
pjwtqxbj922,高表现,0,3
pjxyqxbk717,中表现,0,3
pjxyqxbj455,中表现,0,3
pjxyqwbj986,低表现,1,3
pjxyqxbj272,中表现,1,3
pjxyqxbk399,中表现,1,0
pjxyqxbj145,高表现,0,0
pjxpqxbj916,高表现,0,3
pjxyqxbk677,中表现,0,0
pjxyqxbj642,低表现,1,3
pjxuqwbj589,中表现,1,0
pjxuqwbj994,中表现,1,0
pjxyqwbj785,低表现,1,0
pjxyqxbk107,中表现,0,3
pjxyqwbj950,高表现,1,0
pjxyqxbj439,中表现,0,3
pjxyqxbk218,低表现,1,0
pjwtqxbj939,低表现,1,3
pjxtzxfj981,低表现,1,1
pjxxzxkj990,高表现,1,3
pjxyqwbj441,高表现,1,3
pjxsqxbj888,高表现,0,3
